candle,total_usdt
2026-07-01,1000.00
2026-07-02,1041.45
2026-07-03,1065.99
2026-07-04,1071.43
2026-07-05,1074.37
2026-07-06,1080.94
2026-07-07,1065.50
2026-07-08,1041.92
2026-07-09,1048.38
2026-07-10,1064.64
